# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.312957103397e-10       4.384396380225e-15       4.386158154084e-13       4.204756350381e-19       1.024123014044e-08       3.530046511903e-10      -1.989361174516e-12 
    3       1.254545262449e-10       7.736088595561e-15       5.348276376677e-13       8.412142645918e-19       6.408387841269e-09       2.589326854489e-10      -1.771924160713e-12 
    4       1.198770460249e-10       9.572584225784e-15       5.501766366365e-13       1.402599505531e-18       4.516954525866e-09       1.999957778599e-10      -1.453959394617e-12 
    5       1.155835587149e-10       9.482072265594e-15       5.185886783375e-13       2.104958123762e-18       3.403556716503e-09       1.602298208633e-10      -1.125489924549e-12 
    6       1.125304735973e-10       7.920851656977e-15       4.628547822864e-13       2.948678777670e-18       2.679557124358e-09       1.319058871336e-10      -8.176193642977e-13 
    7       1.104938041490e-10       5.736933898157e-15       3.986696007072e-13       3.934199944608e-18       2.177155757246e-09       1.108568599566e-10      -5.478064174011e-13 
    8       1.092202705580e-10       3.693618916284e-15       3.355856543512e-13       5.061996499768e-18       1.810873060733e-09       9.463137643206e-11      -3.250282497645e-13 
    9       1.085707078007e-10       2.223216190292e-15       2.791645140748e-13       6.332565457521e-18       1.534228878903e-09       8.177618504703e-11      -1.526798548016e-13 
   10       1.084311864502e-10       1.401832978096e-15       2.323883065211e-13       7.746411414629e-18       1.319751764583e-09       7.144689724687e-11      -2.980988926345e-14 
   11       1.086570501716e-10       1.068723724806e-15       1.966281905605e-13       9.304032242484e-18       1.095125531656e-09       6.217511891814e-11       4.723312055410e-14 
   12       1.091741110963e-10       9.873654214588e-16       1.720872426604e-13       1.100590556160e-17       9.605868410587e-10       5.514012081073e-11       8.697085776512e-14 
   13       1.099495254155e-10       9.687741058791e-16       1.579484497422e-13       1.285247649641e-17       8.498621601147e-10       4.933108551281e-11       9.721279429017e-14 
   14       1.108873933038e-10       9.229327461990e-16       1.526939200304e-13       1.484414715373e-17       7.575105867854e-10       4.428202285753e-11       8.609599841069e-14 
   15       1.119250248451e-10       8.464566873699e-16       1.545096832390e-13       1.698126819555e-17       6.795836396015e-10       3.998350402948e-11       6.208089857881e-14 
   16       1.131332438032e-10       7.781178487853e-16       1.613889588652e-13       1.926413279034e-17       6.131640053737e-10       3.636562507524e-11       3.243876250402e-14 
   17       1.144111645869e-10       7.551967207368e-16       1.713761470145e-13       2.169297312869e-17       5.560480114794e-10       3.326417211685e-11       2.914688525073e-15 
   18       1.157476792929e-10       7.904924207996e-16       1.828051740165e-13       2.426795834434e-17       5.063486562913e-10       3.052950012740e-11      -2.225704519387e-14 
   19       1.171706651931e-10       8.715167155013e-16       1.946451586975e-13       2.698920249250e-17       4.633331914718e-10       2.812409614504e-11      -4.085156801127e-14 
   20       1.186498224740e-10       9.743989237572e-16       2.058919243338e-13       2.985675523984e-17       4.253555557392e-10       2.598151415944e-11      -5.162774565122e-14 
   21       1.201764966468e-10       1.085619020688e-15       2.161552493854e-13       3.287062665228e-17       3.918413686092e-10       2.407840865292e-11      -5.488866835054e-14 
   22       1.217203516177e-10       1.196400375314e-15       2.252898298004e-13       3.603077624312e-17       3.620151769023e-10       2.237258673155e-11      -5.201326601340e-14 
   23       1.232908468312e-10       1.315284675214e-15       2.334187164181e-13       3.933714313531e-17       3.354833849452e-10       2.083140404644e-11      -4.465500886328e-14 
   24       1.248889511181e-10       1.457514251232e-15       2.408057113386e-13       4.278963503507e-17       3.116469681458e-10       1.941230718023e-11      -3.491311496502e-14 
   25       1.265142467351e-10       1.632946202625e-15       2.477100310047e-13       4.638816417960e-17       2.902363127359e-10       1.812803697844e-11      -2.443225767531e-14 
   26       1.281525591384e-10       1.848459267928e-15       2.544178868117e-13       5.013263382526e-17       2.708744230243e-10       1.699209982656e-11      -1.486072141792e-14 
   27       1.298094745508e-10       2.101718599322e-15       2.611544704404e-13       5.402297016592e-17       2.533383179879e-10       1.597839773465e-11      -7.387498858399e-15 
   28       1.314864949353e-10       2.387102810267e-15       2.680937012276e-13       5.805911368271e-17       2.373351151096e-10       1.504254839207e-11      -2.939960961379e-15 
   29       1.331887953599e-10       2.703019906830e-15       2.751781860881e-13       6.224105793637e-17       2.227889120091e-10       1.417658102066e-11      -1.488038675951e-15 
   30       1.349095857285e-10       3.048545965853e-15       2.822343337904e-13       6.656882641544e-17       2.095488920916e-10       1.337619919175e-11      -2.537485755774e-15 
   31       1.366321032046e-10       3.422564404668e-15       2.890291867505e-13       7.104247270778e-17       1.973514389366e-10       1.263180646557e-11      -5.394363754390e-15 
   32       1.383621130086e-10       3.825721902537e-15       2.953097399384e-13       7.566211059261e-17       1.861378660525e-10       1.194605928964e-11      -9.402283311965e-15 
   33       1.401050545789e-10       4.259182988049e-15       3.007686897751e-13       8.042790303918e-17       1.758329998624e-10       1.132173389302e-11      -1.376310283138e-14 
   34       1.418597994252e-10       4.723792823065e-15       3.050724355566e-13       8.534005581938e-17       1.662973608356e-10       1.075682789707e-11      -1.760626194026e-14 
   35       1.436305360792e-10       5.218923308913e-15       3.080124276010e-13       9.039880550945e-17       1.574850592084e-10       1.024524767826e-11      -2.049996507157e-14 
   36       1.454173573284e-10       5.743182463988e-15       3.094031646984e-13       9.560443491452e-17       1.493281400419e-10       9.775450837042e-12      -2.210955250198e-14 
   37       1.472156051271e-10       6.295469197508e-15       3.090812445748e-13       1.009572582267e-16       1.417236029525e-10       9.333541179008e-12      -2.217094992435e-14 
   38       1.490274573538e-10       6.877660920777e-15       3.070424369290e-13       1.064575442287e-16       1.346537953940e-10       8.916324179455e-12      -2.086771635820e-14 
   39       1.508529627028e-10       7.492832912524e-15       3.033518971792e-13       1.121055730118e-16       1.280981370881e-10       8.522029344171e-12      -1.858583310642e-14 
